state,county,homepage,kind,owner,link_text,url
FL,union,https://unionflvotes.com/,accessibility,county,Accessibility Policy,https://unionflvotes.com/accessibility-policy/
FL,volusia,https://www.volusiaelections.gov/,privacy,county,Web Accessibility and Privacy Policy,https://www.volusiaelections.gov/web-accessibility-policy.stml
FL,wakulla,https://wakullavotes.gov/,accessibility,county,welcome feedback on ways to improve the site’s accessibility,https://wakullavotes.gov/cdn-cgi/l/email-protection#REDACTED
FL,wakulla,https://wakullavotes.gov/,terms,county,Privacy Policy & Terms of Use,https://wakullavotes.gov/privacy-policy/
FL,walton,https://votewalton.gov/,terms,county,Privacy Policy & Terms of Use,https://votewalton.gov/privacy-policy-and-terms/
FL,washington,https://wcsoe.gov/,records,county,Public Records Request,https://wcsoe.gov/public-records-request/
FL,washington,https://wcsoe.gov/,accessibility,county,welcome feedback on ways to improve the site’s accessibility.,https://wcsoe.gov/cdn-cgi/l/email-protection#REDACTED
FL,washington,https://wcsoe.gov/,privacy,county,Privacy Policy,https://wcsoe.gov/privacy-policy/
FL,washington,https://wcsoe.gov/,terms,county,Terms of Use,https://wcsoe.gov/terms-of-use/
FL,washington,https://wcsoe.gov/,accessibility,county,Accessibility Policy,https://wcsoe.gov/accessibility-policy/
